Indicator Code: CG0010
"Indicator Name: Communicable, maternal, perinatal and nutritional conditions"
Export date: 12/24/2023 11:09:13 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-B99, D50-D53, D64.9, E00-E02, E40-E46, E50-E64, G00-G04, G14, H65-H66, J00-J22, N70-N73, O00-O99, P00-P96, U04, U07.1, U07.2, U09.9, U10.9"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age_all,[All],688.00000000,7.15474210,50.32167920,51.15930099,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age00,[0],123.00000000,58.01886792,,633.20463320,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age01_04,[1-4],5.00000000,15.62500000,,6.38105083,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age05_09,[5-9],2.00000000,10.00000000,,2.14730513,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age10_14,[10-14],3.00000000,10.34482759,,3.44467281,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age15_19,[15-19],7.00000000,8.23529412,,7.53433504,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age20_24,[20-24],13.00000000,6.63265306,,11.69054235,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age25_29,[25-29],28.00000000,12.90322581,,21.82299988,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age30_34,[30-34],46.00000000,20.08733624,,40.31480605,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age35_39,[35-39],45.00000000,19.39655172,,46.92926196,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age40_44,[40-44],34.00000000,12.63940520,,39.19172824,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age45_49,[45-49],40.00000000,9.87654321,,42.19186752,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age50_54,[50-54],39.00000000,6.93950178,,42.87976075,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age55_59,[55-59],40.00000000,5.47945205,,53.81841666,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age60_64,[60-64],36.00000000,4.21545667,,60.92298320,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age65_69,[65-69],31.00000000,3.32261522,,68.93484545,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age70_74,[70-74],34.00000000,3.35305720,,106.55301012,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age75_79,[75-79],34.00000000,3.32681018,,168.52540273,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age80_84,[80-84],39.00000000,3.93145161,,318.54937515,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age85_over,[85+],89.00000000,5.66157761,,969.60453208,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age_unknown,[Unknown],0.00000000,0.00000000,,,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Male,Age_all,[All],372.00000000,6.85209062,57.16838481,55.88556079,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Male,Age00,[0],56.00000000,54.36893204,,567.31840746,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Male,Age01_04,[1-4],1.00000000,6.25000000,,2.51420526,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Male,Age05_09,[5-9],1.00000000,10.00000000,,2.11788127,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Male,Age10_14,[10-14],1.00000000,5.00000000,,2.26721382,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Male,Age15_19,[15-19],2.00000000,3.17460317,,4.26030461,
